ItemCode,ITEM,EAN,Qty,RRP,Price  (£),NEW,ORDER,TOTAL VALUE,search_number
01-PA-LAD-PS30,PACO LADY MILLION EDP-S 30ML,3349668612611.0,480,61.0,31.95,New In,,0.0,2247433.0
01-PA-LAD-PS30,PACO LADY MILLION EDP-S 30ML,3349668612611.0,480,61.0,31.95,New In,,0.0,2247433.0
01-PA-LAD-PS50,PACO LADY MILLION EDP-S 50ML,3349668612604.0,491,86.0,39.95,,,0.0,2248995.0
01-PA-LAD-PS50-UK,PACO LADY MILLION EDP-S 50ML,3349668612604.0,1000+,86.0,36.95,,,0.0,2248995.0
01-PA-LAD-PS80-UK,PACO LADY MILLION EDP-S 80ML,3349668508587.0,356,105.0,48.95,,,0.0,2248996.0
01-PA-LADR-PS30,PACO LADY MILLION ROYAL EDP-S 30ML,3349668617159.0,20,56.0,29.95,,,0.0,
01-PA-OLYB-PS30,PACO OLYMPEA BLOSSOM EDP-S 30ML,3349668612642.0,1000+,52.0,20.5,,,0.0,
01-PA-OLY-DSP150,PACO OLYMPEA DEO SPRAY 150ML,3349668528745.0,412,29.0,11.95,,,0.0,4859345.0
01-PA-OLYF-PS30,PACO OLYMPEA FLORA EDP-S 80ML,3349668614479.0,48,114.0,54.95,,,0.0,202303639.0
01-PA-OLY-PS30,PACO OLYMPEA EDP-S 30ML,3349668613427.0,892,58.0,30.95,,,0.0,
01-PA-OLY-PS50-UK,PACO OLYMPEA EDP-S 50ML,3349668568093.0,1000+,83.0,37.95,,,0.0,4815675.0
01-PA-OLY-PS80,PACO OLYMPEA EDP-S 80ML,3349668612635.0,180,103.0,48.95,,,0.0,4815680.0
01-PA-ULTRA-PS80,PACO ULTRAVIOLET EDP-S 80ML,3349666010532.0,484,88.5,24.95,,,0.0,
01-PP-PALOMA-TS50,PALOMA PICASSO EDT-S 50ML,3614273532990.0,238,46.99,12.95,,,0.0,896436.0
01-PR-PARA-PS50,PRADA PARADOXE EDP-S 50ML,3614273760652.0,149,97.0,46.95,,,0.0,202061132.0
01-PR-PARA-PS90,PRADA PARADOXE EDP-S 90ML,3614273760164.0,326,135.0,67.95,,,0.0,
01-RL-RAL-TS100,RALPH LAUREN RALPH EDT-S 100ML,3360377009363.0,116,72.0,26.95,,,0.0,597316.0
